S&atilde;o Paulo | Todos os Munic&iacute;pios,,,,,,,,,,,,
Munic&iacute;pio [-],C&oacute;digo [-],Gent&iacute;lico [-],Prefeito [2021],&Aacute;rea Territorial - km&sup2; [2020],Popula&ccedil;&atilde;o estimada - pessoas [2020],Densidade demogr&aacute;fica - hab/km&sup2; [2010],Escolariza&ccedil;&atilde;o &lt;span&gt;6 a 14 anos&lt;/span&gt; - % [2010],IDHM &lt;span&gt;&Iacute;ndice de desenvolvimento humano municipal&lt;/span&gt; [2010],Mortalidade infantil - &oacute;bitos por mil nascidos vivos [2017],Receitas realizadas - R$ (&times;1000) [2017],Despesas empenhadas - R$ (&times;1000) [2017],PIB per capita - R$ [2018]
Borebi,3507456,borebiense,ANDERSON PINHEIRO DE GOES,347.989,2683,6.59,99.5,705,55.56,1.863.130.925,1.568.580.692,24905.82
Botucatu,3507506,botucatuense,M&Aacute;RIO EDUARDO PARDINI AFFONSECA,1.482.642,148130,85.88,97.8,800,13.99,40.144.376.209,34.809.799.717,31925.21
Bragan&ccedil;a Paulista,3507605,bragantino,JESUS ADIB ABI CHEDID,512.584,170533,286.26,97,776,8.54,47.435.506.722,41.956.918.644,37813.45
Bra&uacute;na,3507704,braunense,HEITOR VERDU,195.176,5741,25.70,98.6,737,15.63,2.030.316.854,1.704.980.737,17435.66
Brejo Alegre,3507753,brejoalegrense,RAFAEL ALVES DOS SANTOS,105.689,2889,24.41,95.9,710,28.57,2.022.797.667,1.794.573.318,29271.06
Brodowski,3507803,brodosquiano,JOSE LUIZ PEREZ,278.458,25277,75.80,97.5,755,09.09,781.115.528,6.888.722.289,27203.14
Brotas,3507902,brotense,LEANDRO CORR&Ecirc;A,1.101.373,24636,19.59,99.1,740,7.33,9.440.693.639,8.049.501.377,27225.67
Buri,3508009,buriense,OMAR YAHYA CHAIN,1.196.462,19965,15.52,98.5,667,13.16,7.424.165.561,6.141.611.714,20905.86
Buritama,3508108,buritamense,RODRIGO ZACARIAS DOS SANTOS,326.921,17281,47.19,96.7,763,5.59,7.846.555.996,6.092.304.761,37385.31
Buritizal,3508207,buritinense,DANIEL SARRETA,266.420,4514,15.21,99.4,735,55.56,2.648.307.913,2.245.155.903,40019.23
Cabr&aacute;lia Paulista,3508306,cabraliense,ODEMIL ORTIZ DE CAMARGO,239.974,4243,18.19,97.5,694,38.46,1.915.779.667,1.597.261.734,19260.49
Cabre&uacute;va,3508405,cabreuvano,ANTONIO CARLOS MANGINI,260.234,50429,159.87,97.3,738,16.62,20.680.922.618,19.273.091.119,95518.16
Ca&ccedil;apava,3508504,ca&ccedil;apavense,P&Eacute;TALA GON&Ccedil;ALVES LACERDA,368.990,95018,229.66,98,788,9.50,24.545.023.084,22.230.583.405,46192.50
Cachoeira Paulista,3508603,cachoeirense,ANTONIO CARLOS MINEIRO,287.990,33581,104.49,98,764,17.33,880.167.067,7.832.961.452,18401.78
Caconde,3508702,cacondense,JO&Atilde;O FILIPE MUNIZ BASILLI,468.214,19009,39.44,97.7,720,14.15,5.275.487.491,4.867.607.968,18846.16
Cafel&acirc;ndia,3508801,cafelandense,TAIS FERNANDA MAIMONI CONTIERI SANTANA,920.280,17843,18.05,96.7,742,8.89,6.205.466.542,5.871.812.186,28550.67
