genus,species,"base of range (Ma)","top of range (Ma)",collections,"with abundances","geometric mean abundance"
Massetognathus,sp.,242.000,235.000,2,0,NaN
Mawsonia,gigas,136.400,109.000,4,1,1.0000
Mawsonia,sp.,105.300,94.300,1,1,0.1481
Maxakalisaurus,topai,84.900,66.043,1,1,1.0000
Mayomys,confluens,33.900,28.400,1,0,NaN
Mayulestes,ferox,66.043,61.700,1,0,NaN
Mazama,andina,0.126,0.012,1,0,NaN
Mazama,sp.,0.02798,0.0255,3,0,NaN
Mecaster,fourneli,89.300,85.800,1,0,NaN
Megabalanus,tintinnabulum,23.030,15.970,2,0,NaN
Megabradys,darwini,11.608,5.332,1,0,NaN
Megachasma,applegatei,20.430,15.970,1,0,NaN
Megactenopetalus,sp.,298.900,295.000,1,1,1.0000
Megadolodus,molariformis,13.800,11.800,2,0,NaN
Megalolamna,paradoxodon,20.430,15.970,2,1,1.0000
Megaloolithus,baghensis,58.700,48.600,1,0,NaN
Meganodontia,sp.,23.030,20.430,1,0,NaN
Megaptera,novaeangliae,1.806,0.000,3,1,0.3333
Megascyliorhinus,trelewensis,11.608,7.246,1,0,NaN
Megathericulus,sp.,13.800,11.800,1,0,NaN
Megatherium,altiplanicum,6.800,4.000,4,0,NaN
Megatherium,americanum,2.588,0.012,11,0,NaN
Megatherium,americium,0.01962,0.01415,1,0,NaN
Megatherium,celendinense,0.781,0.012,1,0,NaN
Megatherium,elenense,2.588,0.012,1,0,NaN
Megatherium,medinae,2.588,0.012,2,0,NaN
Megatherium,sp.,17.500,0.012,7,0,NaN
Megatherium,"sp. 1",2.588,0.012,1,0,NaN
Megatherium,"sp. 2",2.588,0.012,1,0,NaN
Megatherium,"sp. 3",2.588,0.012,1,0,NaN
Megatherium,sundti,2.588,0.012,1,0,NaN
Megatherium,tarijense,0.044,0.021,3,0,NaN
Megatherium,tarijensis,3.600,0.781,2,0,NaN
Megatherium,uquiensis,3.600,2.588,1,0,NaN
Megatherium,urbinai,2.588,0.012,2,0,NaN
Megistonyx,oreobios,0.126,0.012,1,0,NaN
Melanosuchus,fisheri,11.608,5.332,1,0,NaN
Melongena,sp.,48.600,15.970,2,0,NaN
Membras,sp.,23.030,15.970,1,0,NaN
Menabites,"sp. 1",84.900,66.043,1,1,1.0000
Menadon,besairiei,235.000,221.500,1,1,0.4762
Mene,sp.,23.030,15.970,1,0,NaN
Mercenaria,prototypa,23.030,15.970,3,0,NaN
Meriania,deficiens,23.030,15.970,1,0,NaN
Meridiosaurus,vallisparadisi,155.700,145.500,1,0,NaN
Mesalia,rathbuni,23.030,15.970,5,0,NaN
Mesenodon,juruaensis,11.608,7.246,1,0,NaN
Mesoplodon,sp.,0.012,0.000,2,0,NaN
Mesoprocta,hypsodus,13.2,12.9,1,0,NaN
Mesosaurus,sp.,290.100,279.500,2,0,NaN
Mesosaurus,tenuidens,290.100,279.500,16,10,0.3916
Mesotoxodon,pricei,11.608,7.246,1,0,NaN
Messapicetus,gregarius,11.608,7.246,4,2,0.1071
Metaxytherium,crataegense,23.030,11.608,1,1,1.0000
Metaxytherium,sp.,23.030,5.332,5,2,0.5000
Meteutatus,sp.,48.600,37.200,1,0,NaN
Metrarabdotos,sp.,23.030,15.970,1,0,NaN
Metriorhynchus,casamiquelai,164.700,161.200,2,0,NaN
Metriorhynchus,westermanni,164.700,155.700,3,1,1.0000
Metula,sp.,23.030,15.970,1,0,NaN
Micodon,kiotensis,13.800,11.800,1,0,NaN
Micoureus,laventicus,16.300,11.800,4,0,NaN
Microcardium,jamaicensis,23.030,15.970,1,0,NaN
Microcavia,aua,0.126,0.012,1,0,NaN
Microcavia,sp.,4.000,3.000,1,0,NaN
Microdon,penalvai,112.600,109.000,1,1,0.0213
Micronycteris,sp.,0.02798,0.0255,1,0,NaN
Micropalama,himantopus,0.126,0.012,1,0,NaN
Microscleromys,cribriphilus,13.800,11.800,1,0,NaN
Microscleromys,jacobsi,13.800,11.800,1,0,NaN
Microscleromys,paradoxalis,13.800,11.800,3,0,NaN
Microscleromys,sp.,16.300,15.500,1,0,NaN
Microsteiromys,jacobsi,13.800,11.800,3,0,NaN
Microtragulus,bolivianus,5.332,4.000,2,0,NaN
Microtragulus,catamarcensis,6.800,3.000,1,0,NaN
Microtypotherium,choquecotense,15.500,5.332,3,0,NaN
Migraveramus,beatus,29.000,21.000,3,1,0.0018
Migraveramus,lavocati,29.000,21.000,2,0,NaN
Migraveramus,quispea,29.000,21.000,1,0,NaN
Miguelsoria,parayirunhor,58.700,48.600,1,0,NaN
Miletes,sp.,66.043,61.700,1,0,NaN
Miliammina,fusca,15.970,5.332,3,3,0.0139
Miltha,childreni,23.030,15.970,1,0,NaN
Milvago,sp.,3.600,0.012,2,1,0.0130
Minicynodon,maieri,221.500,205.600,1,1,0.0227
Minitoxodon,acrensis,11.608,7.246,1,0,NaN
Minusculodelphis,minimus,58.700,48.600,1,0,NaN
Minusculodelphis,modicum,58.700,48.600,1,1,0.1395
Miocallicebus,villaviejai,13.800,11.800,1,0,NaN
Miocaperea,pulchra,7.5,7.3,1,1,0.0556
Miocochilius,anomopodus,13.800,11.800,8,0,NaN
Miocochilius,federicoi,13.2,12.9,1,0,NaN
Miocochilius,sp.,13.800,11.800,1,0,NaN
Mionothropus,cartellei,11.608,7.246,1,0,NaN
Mirandabradys,socorrensis,15.970,11.608,2,0,NaN
Mirandabradys,urumaquensis,11.608,5.332,1,0,NaN
Mirandabradys,zabasi,5.332,2.588,1,0,NaN
Mirandatherium,alipioi,58.700,48.600,2,0,NaN
Mirischia,asymmetrica,112.600,99.700,1,1,1.0000
Mirounga,sp.,2.588,0.012,1,1,1.0000
Mitra,senecta,23.030,15.970,3,0,NaN
Mitra,sp.,23.030,15.970,2,0,NaN
Mixotoxodon,larensis,1.0,0.0255,7,0,NaN
Mizquedelphys,pilpinensis,66.043,61.700,1,1,0.5000
Mobula,sp.,23.030,7.246,4,0,NaN
Modiolus,doingosi,23.030,15.970,1,0,NaN
Mohanamico,hershkovitzi,13.800,11.800,1,0,NaN
Molinodus,suarezi,66.043,61.700,2,0,NaN
Monodelphis,domestica,2.588,0.000,1,0,NaN
Monodelphopsis,travassosi,58.700,48.600,1,0,NaN
Monoplex,chlorostomoides,23.030,15.970,1,0,NaN
Monoplex,infelix,23.030,15.970,1,0,NaN
Monoplex,williamsi,23.030,15.970,1,0,NaN
Moqueguahippus,glycisma,26.25,26.25,4,3,0.3467
Moraesichnium,sp.,145.500,130.000,2,2,1.0000
Morenelaphus,brachyceros,0.781,0.012,1,0,NaN
Morenelaphus,sp.,0.022,0.012,4,0,NaN
Morenia,sp.,11.608,7.246,1,0,NaN
Morrinhosuchus,luziae,84.900,66.043,3,1,1.0000
Morum,charanalense,37.200,33.900,1,0,NaN
Morum,harrisi,23.030,15.970,1,0,NaN
Morus,peruvianus,7.246,5.332,1,1,0.0526
Mourasuchus,amazonensis,11.608,5.332,2,0,NaN
Mourasuchus,arendsi,11.608,7.246,5,0,NaN
Mourasuchus,atopus,15.970,11.800,8,0,NaN
Mourasuchus,pattersoni,9.000,6.800,1,0,NaN
Mourasuchus,sp.,13.800,7.246,11,0,NaN
Mugil,cephalus,23.030,15.970,1,0,NaN
Muiscasaurus,catheti,130.000,112.600,1,1,1.0000
Murex,messoriusi,23.030,15.970,1,0,NaN
Murex,pennaei,23.030,15.970,1,0,NaN
Myctophum,punctatus,23.030,15.970,1,0,NaN
Myiozetetes,similis,0.02798,0.0255,1,1,0.0064
Myliobatis,americanus,11.608,7.246,1,0,NaN
Myliobatis,dixoni,66.043,55.800,1,0,NaN
Myliobatis,pirabensis,23.030,15.970,1,0,NaN
Myliobatis,priabensis,23.030,15.970,1,0,NaN
Myliobatis,sp.,23.030,1.806,11,0,NaN
Mylodonopsis,ibseni,2.588,0.000,1,0,NaN
Mylodon,darwini,0.781,0.012,2,0,NaN
Myocastor,coypus,2.588,0.012,2,0,NaN
Myocastor,perditus,1.200,0.781,2,0,NaN
Myocastor,priscus,3.600,2.588,1,0,NaN
Myocastor,sp.,0.781,0.012,1,0,NaN
Myrcia,pirabensis,23.030,15.970,1,0,NaN
Myripristis,sp.,23.030,15.970,1,0,NaN
Myrmecophaga,sp.,1.0,0.5,1,0,NaN
Mystacodon,selenensis,37.200,33.900,1,1,1.0000
Mytilus,canoasensis,23.030,15.970,4,0,NaN
Mytilus,trigonus,11.608,7.246,1,0,NaN
Nactica,neverita,55.800,48.600,1,0,NaN
Nanoastegotherium,prostatum,16.300,15.500,3,1,0.3333
Nanosiren,sanchezi,11.608,7.246,1,1,1.0000
Nanosiren,sp.,7.5,7.3,1,0,NaN
Nassarius,pirabica,23.030,15.970,1,0,NaN
Nassarius,praetriviata,23.030,15.970,1,0,NaN
Nassa,lagunitensis,48.600,37.200,2,0,NaN
Nasua,sp.,2.588,0.781,1,0,NaN
Naticarius,canrena,23.030,15.970,15,0,NaN
Natica,cenrena,23.030,15.970,1,0,NaN
Natica,eurydice,23.030,15.970,1,0,NaN
Nazcacetus,urbinai,7.246,5.332,1,1,0.3333
Nebrius,obliquus,23.030,15.970,3,0,NaN
Necromys,lactens,0.0276,0.01758,1,0,NaN
Necronectes,tajinensis,23.030,15.970,2,0,NaN
Nectomys,squamipes,2.588,0.781,1,0,NaN
Negaprion,brevirostris,20.430,7.246,2,0,NaN
Negaprion,eurybathrodon,23.030,15.970,1,0,NaN
Nellia,tenella,23.030,15.970,1,0,NaN
Nemolestes,sp.,48.600,37.200,1,0,NaN
Neobrachytherium,ameghinoi,11.608,5.332,1,0,NaN
Neobrachytherium,sp.,9.000,6.800,1,0,NaN
Neoceratodus,africanus,155.700,94.300,2,1,1.0000
Neoceratodus,sp.,145.500,66.043,2,1,0.8750
Neochoerus,sirasakae,0.781,0.012,1,0,NaN
Neochoerus,sp.,0.02798,0.015,5,0,NaN
Neochoerus,tarijensis,2.588,0.781,1,0,NaN
Neocorbicula,sp.,15.970,5.332,1,0,NaN
Neodolodus,colombianus,11.608,5.332,5,5,0.6988
Neoepiblema,horridula,11.608,7.246,3,0,NaN
Neoepiblema,sp.,13.800,0.781,6,1,0.1667
Neoglyptatelus,originalis,16.300,11.800,7,6,0.6934
Neoglyptatelus,sp.,28.400,10.000,3,0,NaN
Neolicaphrium,recens,2.588,0.012,1,0,NaN
Neomonachus,tropicalis,0.012,0.000,2,0,NaN
Neonematherium,flabellatum,16.300,11.800,7,0,NaN
Neonematherium,sp.,13.800,11.800,3,0,NaN
Neophanomys,biplicatus,9.000,3.000,2,0,NaN
Neopistopterus,sp.,23.030,15.970,1,0,NaN
Neoproscinetes,penalvai,122.460,109.000,1,0,NaN
Neopycnodonta,zomerysis,23.030,15.970,2,0,NaN
Neoreomys,huilensis,13.800,11.800,2,0,NaN
Neoreomys,sp.,29.000,16.300,4,1,0.0018
Neosaimiri,annectens,16.300,15.500,2,0,NaN
Neosaimiri,fieldsi,13.800,11.800,1,0,NaN
Neosclerocalyptus,heusseri,0.781,0.012,2,0,NaN
Neosclerocalyptus,ornatus,1.200,0.781,1,0,NaN
Neosclerocalyptus,paskoensis,0.781,0.012,3,0,NaN
Neosclerocalyptus,sp.,5.332,0.012,5,0,NaN
Neosteiromys,sp.,9.000,4.000,1,0,NaN
Neotamandua,borealis,13.800,11.800,1,0,NaN
Neotamandua,conspicua,6.800,3.000,1,0,NaN
Neotomys,ebriosus,0.0276,0.01758,1,0,NaN
Neotoxodon,pascuali,11.608,7.246,1,0,NaN
Neotrigodon,utoquineae,11.608,7.246,1,0,NaN
Neptunus,haitensis,23.030,15.970,1,0,NaN
Neptunus,sp.,23.030,15.970,1,0,NaN
Neritina,prolabiata,55.800,48.600,1,0,NaN
Neritina,roxoi,15.970,5.332,1,1,0.0033
Neritina,sp.,136.400,125.450,1,0,NaN
Nesodon,imbricatus,17.500,16.300,1,0,NaN
Netta,erythrophthalma,0.02798,0.0255,1,1,0.0127
Netuma,sp.,1.806,0.781,1,0,NaN
Neuquenocypris,minor,70.600,66.043,1,1,0.2549
Neuryurus,sp.,1.200,0.012,2,0,NaN
Neuryurus,trabeculatus,0.126,0.012,2,0,NaN
Neverita,modica,23.030,15.970,1,0,NaN
Nhandumirim,waldsangae,221.500,205.600,1,1,1.0000
Ninoziphius,platyrostris,6.35,5.47,1,0,NaN
Nipponothracia,sp.,11.608,5.332,1,0,NaN
Nitellopsis,latispira,48.600,37.200,1,0,NaN
Nitellopsis,merianii,66.043,55.800,1,0,NaN
Nitellopsis,sp.,70.600,66.043,1,1,0.0280
Nitellopsis,supraplana,66.043,55.800,1,0,NaN
Noasaurus,leali,70.600,66.043,1,1,0.1111
Noctilio,albiventris,16.300,15.500,1,0,NaN
Noctilio,lacrimaelunaris,9.000,7.246,2,0,NaN
Nodonchus,rectus,416.000,391.900,1,0,NaN
Nodosochara,jorbae,48.600,37.200,1,0,NaN
Noetia,bisulcata,0.126,0.012,1,0,NaN
Noetia,trinitaria,23.030,15.970,1,0,NaN
Nomonyx,dominica,0.02798,0.0255,1,1,0.0064
Noronhomys,vespuccii,0.012,0.000,1,0,NaN
Notelops,brama,122.460,109.000,1,0,NaN
Noterpeton,bolivianum,70.600,66.043,1,1,0.2235
Nothropus,nordenskioldi,0.781,0.012,1,0,NaN
Nothropus,tarijensis,2.588,0.781,1,0,NaN
Nothrotherium,maquinense,0.12,0.043,2,0,NaN
Nothrotherium,sp.,2.588,0.000,1,0,NaN
Notictis,ortizii,11.608,7.246,1,1,0.1111
Notidanus,gigas,7.246,5.332,1,0,NaN
Notiocetus,platensis,2.588,0.012,1,1,1.0000
Notiomastodon,platensis,0.781,0.012,1,0,NaN
Notiomastodon,sp.,2.588,0.015,11,0,NaN
Notocetus,sp.,20.430,15.970,1,0,NaN
Notocetus,vanbenedeni,20.430,15.970,3,0,NaN
Notoemys,zapatocaensis,140.200,136.400,1,1,1.0000
Notogale,mitis,29.000,21.000,4,2,0.0428
Notonychops,powelli,58.700,55.800,1,0,NaN
Notonycteris,magdalenensis,16.300,12.2,4,0,NaN
Notonycteris,sucharadeus,16.300,12.2,2,0,NaN
Notopachyrucos,tambuttoi,3.600,2.588,1,0,NaN
Notorhynchus,cepedianus,1.806,0.781,1,0,NaN
Nucinella,sp.,33.900,23.030,1,0,NaN
Nuciruptor,rubricae,13.800,11.800,1,0,NaN
Nuciruptor,sp.,16.300,11.800,3,0,NaN
Nuculana,mariae,55.800,48.600,1,0,NaN
Nuculana,swiftiana,55.800,48.600,1,0,NaN
Numenius,phaeopus,0.126,0.012,1,0,NaN
Nycticorax,nycticorax,0.126,0.012,1,0,NaN
Nycticorax,olsoni,0.012,0.000,2,0,NaN
Obaichthys,decoratus,112.600,109.000,1,1,0.0213
Obaichthys,laevis,112.600,109.000,1,1,0.0213
Oceanodroma,castro,0.012,0.000,3,0,NaN
Ochetoceras,sp.,164.700,155.700,4,0,NaN
Ocnerotherium,sp.,11.608,5.332,2,0,NaN
Octodontobradys,puruensis,11.608,7.246,2,0,NaN
Octodontobradys,sp.,11.608,5.332,1,0,NaN
Octodontotherium,sp.,29.000,21.000,1,0,NaN
Ocucajea,picklingi,40.400,37.200,1,1,1.0000
Ocyurus,sp.,23.030,15.970,1,0,NaN
Odobenocetops,leptodon,6.35,5.47,2,2,0.1066
Odobenocetops,peruvianus,6.35,5.47,1,0,NaN
Odocoileus,peruvianus,2.588,0.012,2,0,NaN
Odocoileus,salinae,0.781,0.012,2,0,NaN
Odocoileus,sp.,0.02798,0.015,2,0,NaN
Odontaspis,abbatei,3.600,2.588,1,0,NaN
Oecotraustus,sp.,161.200,155.700,1,0,NaN
Oecrotraustus,sp.,164.700,161.200,1,0,NaN
Ogunichthys,triangularis,145.500,66.043,1,0,NaN
Olenopsis,sp.,15.970,11.608,1,0,NaN
Oligopygus,ovumserpentis,55.800,33.900,1,0,NaN
Oligopygus,sp.,55.800,33.900,1,0,NaN
Oligoryzomys,flavescens,0.0276,0.01758,1,0,NaN
Oligoryzomys,longicaudatus,0.0276,0.01758,1,0,NaN
Oligoryzomys,sp.,2.588,0.000,1,0,NaN
Olindalacerta,brasiliensis,122.460,109.000,1,1,0.5000
Olisanophus,akilachuta,13.2,12.9,2,0,NaN
Olisanophus,riorosarioensis,13.2,12.9,3,0,NaN
Olisanophus,sp.,13.2,12.9,2,0,NaN
Olivancillaria,carcellesi,0.126,0.012,1,0,NaN
Olivancillaria,deshayesiana,0.126,0.012,1,0,NaN
Olivancillaria,inca,48.600,37.200,1,0,NaN
Olivancillaria,urceus,0.126,0.012,1,0,NaN
Oliva,paraensis,23.030,15.970,3,0,NaN
Oliva,pirabica,23.030,15.970,3,0,NaN
Olivella,calcis,23.030,15.970,1,0,NaN
Olivella,paraensis,23.030,15.970,3,0,NaN
Olivella,subperdita,23.030,15.970,1,0,NaN
Onchus,punctuatus,416.000,391.900,1,0,NaN
Onchus,sicaeformis,416.000,391.900,1,0,NaN
Onchus,sp.,416.000,391.900,1,0,NaN
Ophiura,sp.,37.200,33.900,1,0,NaN
Opisthodactylus,kirchneri,6.800,3.000,1,1,0.5000
Opisthognathus,sp.,23.030,15.970,1,0,NaN
Oppelia,sp.,164.700,161.200,1,0,NaN
Orcinus,orca,0.012,0.000,1,0,NaN
Oreopholus,orcesi,0.126,0.012,1,0,NaN
Ornithomimipus,jaillardi,84.900,66.043,1,1,0.6667
Orodus,ipeunaensis,290.100,279.500,1,0,NaN
Orthaulax,brasiliensis,23.030,15.970,3,0,NaN
Orthaulax,inornatus,23.030,15.970,3,0,NaN
Orthaulax,pugnax,23.030,15.970,4,0,NaN
Orthomyctera,andina,9.000,3.000,3,0,NaN
Orthomyctera,sp.,9.000,6.800,4,0,NaN
Orthopristis,ruber,23.030,15.970,1,0,NaN
Orthopristis,sp.,23.030,15.970,1,0,NaN
Oshunia,brevis,112.600,109.000,2,1,0.0213
Ostrea,agglomerans,11.608,7.246,1,0,NaN
Ostrea,axillata,11.608,7.246,1,0,NaN
Ostrea,elongata,11.608,7.246,1,0,NaN
Ostrea,entreriana,11.608,7.246,1,0,NaN
Ostrea,foliiformis,11.608,7.246,1,0,NaN
Ostrea,paracasensis,48.600,37.200,4,0,NaN
Ostrea,pejerreyensis,48.600,37.200,2,0,NaN
Ostrea,pracasensis,48.600,37.200,1,0,NaN
Ostrea,semitabulata,11.608,7.246,1,0,NaN
Ostrea,sp.,164.700,161.200,3,0,NaN
Ostrea,strangulata,11.608,7.246,1,0,NaN
Otaria,byronia,0.126,0.000,2,0,NaN
Otaria,fischeri,11.608,7.246,1,0,NaN
Otodus,angustidens,28.400,23.030,1,0,NaN
Otodus,megalodon,23.030,3.6,14,1,1.0000
Oxalaia,quilombensis,105.300,94.300,1,1,0.0741
Oxymycterus,paranensis,2.588,0.781,1,0,NaN
Oxymycterus,wayku,0.0276,0.01758,1,0,NaN
Oxyodontherium,sp.,3.600,2.588,1,0,NaN
Oxyrhina,sp.,2.588,0.012,1,0,NaN
Ozotoceros,bezoarticus,0.781,0.012,2,0,NaN
Ozotoceros,sp.,2.588,0.000,1,0,NaN
Ozotocerus,bezoarticus,0.781,0.012,1,0,NaN
Pachyarmatherium,brasiliense,0.02,0.02,3,1,1.0000
Pachyarmatherium,leiseyi,1.0,0.5,1,0,NaN
Pachyarmatherium,sp.,0.063,0.0589,1,0,NaN
Pachyarmatherium,tenebris,2.588,0.012,1,0,NaN
Pachybiotherium,minor,16.300,15.500,1,0,NaN
Pachycetus,sp.,40.400,37.200,1,1,1.0000
Pachycormus,sp.,164.700,155.700,2,0,NaN
Pachycrommium,nativitatis,23.030,15.970,4,0,NaN
Pachydon,cuneatus,11.800,10.000,1,0,NaN
Pachydon,erectus,15.970,5.332,1,0,NaN
Pachydon,iquitensis,15.970,5.332,1,1,0.5000
Pachydon,trigonalis,15.970,5.332,1,0,NaN
Pachyrotunda,pachyrotunda,15.970,5.332,1,0,NaN
Pachyurus,jungi,23.030,15.970,1,0,NaN
Pacifichelys,urbinai,15.970,11.608,1,1,1.0000
Padillasaurus,leivaensis,130.000,125.450,1,1,0.2500
Paedotherium,kakai,8.8,8.8,1,0,NaN
Paedotherium,minor,9.000,6.800,1,0,NaN
Paedotherium,sp.,9.000,6.800,1,0,NaN
Paedotherium,typicum,3.600,2.588,1,0,NaN
Pagosvenator,candelariensis,242.000,221.500,1,1,1.0000
Palacolama,weddelli,3.600,2.588,1,0,NaN
Palaeobalaena,bergi,11.608,7.246,1,0,NaN
Palaeobalaena,dubia,11.608,7.246,1,0,NaN
Palaeocavia,sp.,6.800,3.000,1,0,NaN
Palaeocladosictis,mosesi,58.700,48.600,1,1,0.0233
Palaeolama,aequatorialis,0.781,0.012,1,0,NaN
Palaeolama,crassa,2.588,0.012,1,0,NaN
Palaeolama,crequii,2.588,0.781,1,0,NaN
Palaeolama,major,0.126,0.012,3,0,NaN
Palaeolama,reissi,2.588,0.012,2,0,NaN
Palaeolama,sp.,2.588,0.02084,7,0,NaN
Palaeolama,weddeli,2.588,0.781,1,0,NaN
Palaeomyrmidon,incomptus,6.800,3.000,1,1,0.5000
Palaeoneilo,unionoides,416.000,391.900,1,0,NaN
Palaeopeltis,inornatus,29.000,21.000,1,1,1.0000
Palaeospheniscus,sp.,20.430,15.970,1,1,1.0000
Palaeosteiromys,amazonensis,28.400,23.030,1,0,NaN
Palaeothentes,boliviensis,29.000,21.000,3,1,1.0000
Palaeotoxodon,sp.,11.608,7.246,1,0,NaN
Paleopsilopterus,itaboraiensis,58.700,48.600,1,0,NaN
Paleosuchus,sp.,13.800,11.800,3,0,NaN
Paleoxyuris,cockburni,242.000,235.000,1,1,0.1250
Paleuphractus,sp.,9.000,6.800,2,0,NaN
Palmiramys,waltheri,29.000,21.000,1,0,NaN
Paludina,sp.,136.400,125.450,1,0,NaN
Palyeidodon,obtusum,15.500,13.800,1,0,NaN
Palyeidodon,sp.,17.500,16.300,1,0,NaN
Palynephyllum,antimaster,16.300,15.500,1,0,NaN
Pampadromaeus,barberenai,235.000,205.600,2,2,0.2000
Pampahippus,arenalesi,48.600,37.200,3,2,0.5000
Pampahippus,powelli,48.600,37.200,1,1,1.0000
Pampahippus,secundus,48.600,37.200,2,1,0.5714
Pampahippus,sp.,48.600,33.900,3,3,0.2321
Pampaphoneus,biccai,268.000,259.000,1,1,0.3333
Pampatemnus,deuteros,48.600,37.200,1,1,1.0000
Pampatemnus,infernalis,48.600,37.200,1,1,0.3333
Pampatherium,humboldtii,1.0,0.0255,4,0,NaN
Pampatherium,paulacoutoi,0.126,0.000,1,0,NaN
Pampatherium,sp.,6.800,0.02084,6,0,NaN
Panochthus,greslebini,0.126,0.000,3,0,NaN
Panochthus,intermedius,2.588,0.012,1,0,NaN
Panochthus,sp.,3.600,0.012,13,0,NaN
Panochthus,tuberculatus,2.588,0.012,2,0,NaN
Panopeus,capanemensis,23.030,15.970,1,0,NaN
Panopeus,sp.,23.030,15.970,2,0,NaN
Panthera,onca,1.200,0.012,8,0,NaN
Paraborhyaena,boliviana,29.000,21.000,2,1,0.0018
Parabrontopodus,sp.,155.700,150.800,1,0,NaN
Paraconger,guianensis,23.030,15.970,1,0,NaN
Paracypris,sp.,70.600,66.043,1,0,NaN
Paradidelphys,pattersonii,6.800,3.000,1,0,NaN
Paradracaena,columbiana,16.300,15.500,1,1,1.0000
Paradracaena,sp.,11.608,7.246,1,1,0.0833
Paraelops,cearenses,122.460,109.000,1,0,NaN
Paraeuphractus,prominens,6.800,3.000,1,0,NaN
Paragaleus,sp.,23.030,1.806,2,0,NaN
Paraglyptodon,sp.,11.608,3.3,2,0,NaN
Paraglyptodon,uquiensis,3.600,3.000,2,0,NaN
Parahelicoprion,mariosuarezi,298.900,295.000,1,1,1.0000
Paralonchurus,schwarzhansi,23.030,15.970,1,0,NaN
Paramyocastor,diligens,3.600,2.588,2,0,NaN
Paranabradys,vucetichae,11.608,5.332,1,0,NaN
Paranamys,sp.,9.000,6.800,1,0,NaN
Paranisolambda,prodromus,58.700,48.600,1,0,NaN
Parapropalaehoplophorus,septentrionalis,17.500,11.800,2,0,NaN
Parapropalaehoplophorus,sp.,23.030,15.970,1,0,NaN
Parapytanga,catarinensis,272.500,254.000,1,1,1.0000
Parastegosimpsonia,peruana,37.200,33.900,2,1,0.0182
Parastegosimpsonia,sp.,37.200,33.900,1,1,0.0182
Parasymbolus,sp.,84.900,70.600,1,0,NaN
Paratrigodon,sp.,13.2,7.246,2,0,NaN
Paratumidocarcinus,marajoarus,23.030,15.970,1,0,NaN
Paraungaliophis,pricei,58.700,48.600,2,0,NaN
Pardinamys,humahuaquensis,3.600,2.588,1,0,NaN
Parnaibaia,maranhaoensis,161.200,145.500,1,0,NaN
Paroctodontotherium,calleorum,29.000,21.000,2,1,0.0073
Parotodus,benedeni,20.430,15.970,1,0,NaN
Parthenope,trituberculata,23.030,15.970,1,0,NaN
Parthenope,tuberculata,23.030,15.970,1,0,NaN
Parutaetus,punaensis,37.200,33.900,2,0,NaN
Parutaetus,sp.,48.600,37.200,1,0,NaN
Parvimico,materdei,17.500,16.300,1,0,NaN
Parvodus,rugianus,145.500,99.700,1,0,NaN
Pascualihippus,boliviensis,29.000,21.000,2,1,0.0055
Pascualihippus,bolviensis,29.000,21.000,1,0,NaN
Pasythea,tulipifera,23.030,15.970,1,0,NaN
Patagioenas,sp.,0.02798,0.0255,1,1,0.0127
Patasola,magdalenae,13.800,11.800,1,0,NaN
Patene,campbelli,37.200,33.900,1,1,0.0182
Patene,simpsoni,58.700,37.200,3,0,NaN
Pattersoncypris,sp.,112.600,99.700,1,0,NaN
Pattersonocnus,diazgameroi,11.608,5.332,1,0,NaN
Paulacoutomys,paulista,29.000,21.000,1,0,NaN
Paulacoutophis,perplexus,58.700,48.600,1,0,NaN
Peckichara,sp.,66.043,55.800,1,0,NaN
Peckichara,varians,66.043,55.800,1,0,NaN
Peckisphaera,portezueloensis,66.043,55.800,1,0,NaN
Pecten,grapteus,23.030,15.970,1,0,NaN
Pecten,sp.,164.700,161.200,1,0,NaN
Pedrolypeutes,praecursor,15.970,15.500,6,5,0.6598
Peiropemys,mezzalirai,70.600,66.043,1,0,NaN
Peirosaurus,torminni,70.600,66.043,2,2,0.7071
Pelagornis,chilensis,13.650,11.608,1,1,1.0000
Pelagornis,sp.,18.85,5.47,5,3,0.1908
Pelecanus,occidentalis,0.00105,0.000,5,5,0.1444
Pellona,sp.,23.030,15.970,1,0,NaN
Pelocetus,sp.,15.970,11.608,1,0,NaN
Peltephilus,sp.,29.000,13.800,3,0,NaN
Peltephilus,"sp. 1",29.000,21.000,1,0,NaN
Peltephilus,"sp. 2",29.000,21.000,1,0,NaN
Peltoceras,sp.,164.700,155.700,2,0,NaN
Pepesuchus,deiseae,84.900,66.043,1,1,0.1000
Pepesuchus,sp.,84.900,66.043,1,0,NaN
Peponocephala,electra,0.012,0.000,2,0,NaN
Peprilus,sp.,23.030,15.970,1,0,NaN
Peradectes,austrinum,66.043,48.600,2,0,NaN
Percichthys,sp.,66.043,61.700,1,0,NaN
Peregocetus,pacificus,48.600,40.400,1,1,1.0000
Periaster,sp.,84.900,66.043,1,0,NaN
Pericotoxodon,platignathus,15.970,11.800,12,1,1.0000
Periglypta,multicostata,23.030,15.970,1,0,NaN
Periprotodidelphis,bergqvistae,58.700,48.600,1,0,NaN
Perisphinctes,andium,161.200,155.700,1,0,NaN
Perisphinctes,dorae,164.700,161.200,2,0,NaN
Perisphinctes,indogermanus,161.200,155.700,1,0,NaN
Perisphinctes,koeneni,161.200,155.700,1,0,NaN
Perisphinctes,sp.,164.700,150.800,3,0,NaN
Perissocytheridea,acuminata,15.970,5.332,1,1,0.0243
Perna,sp.,3.600,2.588,1,0,NaN
Persististrombus,aldrichi,23.030,15.970,1,0,NaN
