genus,species,"base of range (Ma)","top of range (Ma)",collections,"with abundances","geometric mean abundance"
Bauruoolithus,fragilis,84.900,66.043,1,0,NaN
Baurusuchus,pachecoi,84.900,66.043,1,1,1.0000
Baurusuchus,salgadoensis,84.900,66.043,1,0,NaN
Baurusuchus,sp.,84.900,66.043,1,0,NaN
Baurutitan,britoi,70.600,66.043,1,1,0.2500
Belemnites,sp.,164.700,161.200,2,0,NaN
Belonodelphis,peruanus,13.650,11.608,1,0,NaN
Bergqvistherium,primigenia,58.700,48.600,1,0,NaN
Beurlenichthys,ouricuriensis,112.600,99.700,1,0,NaN
Biselenaria,placentula,23.030,15.970,1,0,NaN
Bistramia,elegans,460.900,449.500,1,0,NaN
Bittium,praevarium,23.030,15.970,1,0,NaN
Boa,constrictor,0.781,0.012,1,1,1.0000
Bobbschaefferia,fluminensis,58.700,48.600,1,0,NaN
Bobbschaefferia,sp.,58.700,48.600,1,0,NaN
Bolivacanthus,sagitalis,416.000,391.900,1,0,NaN
Bolivartherium,codorensis,5.332,3.600,2,0,NaN
Bolivartherium,urumaquensis,11.608,5.332,1,0,NaN
Bolomys,sp.,2.588,0.000,1,0,NaN
Bombacacidites,baculatus,23.030,15.970,1,0,NaN
Bonacynodon,schultzi,235.000,221.500,1,0,NaN
Bonapartherium,hinakusijum,48.600,37.200,1,1,1.0000
Bonapartherium,serrensis,37.200,33.900,1,1,0.0250
Bonellitia,olssoni,48.600,37.200,1,0,NaN
Bonnetia,frequens,23.030,15.970,1,0,NaN
Boreastylops,lumbrerensis,48.600,37.200,4,4,0.7598
Boreostemma,acostae,13.800,11.800,3,0,NaN
Boreostemma,gigantea,16.300,15.500,5,5,0.6988
Boreostemma,sp.,13.800,0.781,4,0,NaN
Boreostemma,venezolensis,15.970,11.608,1,0,NaN
Borhyaenidium,altiplanicus,9.000,6.800,1,0,NaN
Borhyaenidium,riggsi,6.800,4.000,1,1,1.0000
Bositra,buchi,164.700,161.200,1,0,NaN
Bostrycapulus,odites,0.126,0.012,1,0,NaN
Botucaraitherium,belarminoi,221.500,205.600,1,1,0.1667
Bounodus,enigmaticus,11.608,5.332,1,0,NaN
Brachauchenius,sp.,130.000,125.450,1,1,1.0000
Brachidontes,sp.,23.030,20.430,1,0,NaN
Brachydelphis,jahuayensis,7.5,7.3,3,2,0.5270
Brachydelphis,mazeasi,13.650,5.332,5,1,0.3333
Brachydelphis,sp.,15.970,11.608,1,0,NaN
Brachytherium,laternarium,6.800,3.000,1,0,NaN
