"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/specs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/specs/list.csv?datainfo&rowcount&cc=SOA"
"Access Time","Tue 2020-10-20 21:51:40 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","cc","SOA"
"","timerule","major"
"","taxon_status","all"
"Elapsed Time","6"
"Records Found","10631"
"Records Returned","10631"
"Records:"
"specimen_no","record_type","flags","occurrence_no","reid_no","collection_no","specimen_id","is_type","specelt_no","specimen_side","specimen_part","specimen_sex","n_measured","measurement_source","magnification","comments","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","max_ma","min_ma","reference_no"
"13143","spm","","438182","0","42772","ANSP 30814","","","","","","1","text","","Figured specimen","Acesta goajira","species","66489","recombined as","Acesta (Acesta) goajira","species","66489","28.4","23.03","11368"
"13144","spm","","438204","0","42768","ANSP 30808a","","","","","","1","text","","Figured specimen","Venericor hornii","species","109100","recombined as","Venericardia (Pacificor) hornii","species","94147","37.2","33.9","11368"
"13145","spm","","438204","0","42768","ANSP 30808b","","","","","","1","text","","Figured specimen","Venericor hornii","species","109100","recombined as","Venericardia (Pacificor) hornii","species","94147","37.2","33.9","11368"
"13146","spm","","438196","0","42770","ANSP 30807a","","","","","","1","text","","Figured specimen","Pecten (Flabellipecten) duplex","species","66488","recombined as","Flabellipecten duplex","species","66488","28.4","23.03","11368"
"13147","spm","","438196","0","42770","ANSP 30807b","","","","","","1","text","","Figured specimen","Pecten (Flabellipecten) duplex","species","66488","recombined as","Flabellipecten duplex","species","66488","28.4","23.03","11368"
"13149","spm","","438194","0","42770","ANSP 30805","","","","","","1","text","","Figured specimen","Clementia (Egesta) peruviana","species","91853","","Clementia (Egesta) peruviana","species","91851","28.4","23.03","11368"
"13150","spm","","438202","0","42770","ANSP 30802","","","","","","1","text","","Figured specimen","Ampullinopsis spenceri","species","89530","","Ampullinopsis spenceri","species","89529","28.4","23.03","11368"
"13151","spm","","438203","0","42770","ANSP 30801a","","","","","","1","text","","Figured specimen","Turritella meroensis","species","66495","","Turritella meroensis","species","66495","28.4","23.03","11368"
"13152","spm","","438203","0","42770","ANSP 30801b","","","","","","1","text","","Figured specimen","Turritella meroensis","species","66495","","Turritella meroensis","species","66495","28.4","23.03","11368"
"13153","spm","","438197","0","42770","ANSP 30809","","","","","","1","text","","Figured specimen","Melongena melongena","species","111214","","Melongena melongena","species","111213","28.4","23.03","11368"
"13154","spm","","438201","0","42770","ANSP 30811","","","","","","1","text","","Figured specimen","Mancorus grabaui","species","66492","","Mancorus grabaui","species","66492","28.4","23.03","11368"
"14309","spm","","767137","0","81881","PRI 3710","holotype","","","shell","","1","text","1","","Eutrephoceras negritensis","species","127389","recombined as","Cimomia negritensis","species","127389","47.8","41.3","17609"
"14312","spm","","808627","0","88363","Johns Hopkins Uni. (unknown number)","holotype","","","shell","","1","text","1","","Hercoglossa peruviana","species","127515","","Hercoglossa peruviana","species","127515","41.3","38","27587"
"14453","spm","","779817","0","83868","UCMP 40200","holotype","","","carapace","","1","table","","","Geochelone (Chelonoides) hesterna","species","132767","recombined as","Chelonoidis hesterna","species","132767","11.608","5.333","703"
"16966","spm","","806822","0","88182","AMNH 27388:1","holotype","","","shell","","1","table","1","","Desmoceras chimuense","species","144368","","Desmoceras chimuense","species","144368","112.03","109","15338"
"16967","spm","","1216920","0","158985","AMNH 27390","holotype","","","shell","","1","table","1","","Parahoplites nicholsoni","species","144562","recombined as","Neodeshayesites nicholsoni","species","144562","112.03","109","15338"
"16968","spm","","806737","0","88170","AMNH 27399:1","holotype","","","shell","","1","table","1","","Parengonoceras haasi","species","144574","","Parengonoceras haasi","species","144574","112.03","109","15338"
"16969","spm","","806996","0","88190","AMNH 27848","holotype","","","shell","","1","","1","","Parengonoceras champaraense","species","144576","","Parengonoceras champaraense","species","144576","109","105.3","15338"
"16970","spm","","806997","0","88190","AMNH 27853","holotype","","","shell","","1","table","1","","Knemiceras triangulare","species","144589","recombined as","Glottoceras triangulare","species","144589","109","105.3","15338"
"16971","spm","","807061","0","88199","AMNH 27877:5","holotype","","","shell","","1","table","1","","Broggiiceras olssoni","species","144621","subjective synonym of","Vascoceras cauvini","species","145863","93.5","89.3","15338"
"16972","spm","","807060","0","88199","AMNH 27878:3","holotype","","","shell","","1","table","1","","Broggiiceras humboldti","species","144622","subjective synonym of","Vascoceras cauvini","species","145863","93.5","89.3","15338"
"16973","spm","","806699","0","88157","AMNH 27882/3:1","","","","shell","","1","table","1","","Coilopoceras jenksi","species","144687","","Coilopoceras jenksi","species","144687","93.9","89.8","15338"
"16975","spm","","1217022","0","159010","AMNH 27888","holotype","","","shell","","1","table","1","","Barroisiceras (Forresteria) basseae","species","144692","","Barroisiceras (Forresteria) basseae","species","144692","89.8","86.3","15338"
"16977","spm","","806697","0","88155","AMNH 27886:1","holotype","","","shell","","1","table","1","","Barroisiceras (Barroisiceras) kayi","species","144697","","Barroisiceras (Barroisiceras) kayi","species","144697","93.5","89.3","15338"
"16978","spm","","806695","0","88155","AMNH 27896:5","holotype","","","shell","","1","","1","","Heterotissotia bucheri","species","144710","","Heterotissotia bucheri","species","144710","93.5","89.3","15338"
"18441","spm","","896124","0","99401","MCNC 244","holotype","","both","carapace","","1","table","","estimated midline length and maximum width","Stupendemys geographicus","species","172422","","Stupendemys geographicus","species","172422","9","6.8","34172"
"18442","spm","","896125","0","99402","MCZ(P) 4376","","","both","carapace","","1","table","","midline length and estimated maximum width","Stupendemys geographicus","species","172422","","Stupendemys geographicus","species","172422","9","6.8","34172"
"18547","spm","","386879","0","36947","MOZ 4084 PV","holotype","","both","skull","","1","picture","","length and width estimated from Fig. 2","Lomasuchus palpebrosus","species","157976","","Lomasuchus palpebrosus","species","157976","93.5","85.8","9879"
"18548","spm","","343919","20171","32346","CPPLIP no 630","holotype","","both","skull","","1","picture","","length and width estimated from Fig. 4","Uberabasuchus terrificus","species","114377","subjective synonym of","Peirosaurus torminni","species","66337","72.1","66","26181"
"18682","spm","","508088","0","51572","","holotype","","","femur","","1","table","","additional ""measurements"" are given for tibia, humerus, radius, ulna, pubis, and scapula, but these are ""increased from"" other specimens that may include A. wichmannianus and definitely include A. septentrionalis\r\nfigure of 2310 mm repeated by Paul 1988, who also gives circumference and lists the specimen as MP A2300","Antarctosaurus giganteus","species","66265","","Antarctosaurus giganteus","species","66265","89.3","83.5","34472"
"18775","spm","","277109","0","26452","PVL 2577","holotype","","right","tibia","","1","table","","","Pisanosaurus mertii","species","64409","","Pisanosaurus mertii","species","64409","237","228","10109"
"18776","spm","","277109","0","26452","PVL 2577","holotype","","right","fibula","","1","table","","","Pisanosaurus mertii","species","64409","","Pisanosaurus mertii","species","64409","237","228","10109"
"18788","spm","","573793","0","60297","UPLR 06","holotype","","","femur","","1","table","","","Lagerpeton chanarensis","species","66341","","Lagerpeton chanarensis","species","66341","242","237","13754"
"18789","spm","","573793","0","60297","UPLR 06","holotype","","","tibia","","1","table","","","Lagerpeton chanarensis","species","66341","","Lagerpeton chanarensis","species","66341","242","237","13754"
"18790","spm","","272322","0","26092","PVL 4619","","","","femur","","1","table","","","Lagerpeton chanarensis","species","66341","","Lagerpeton chanarensis","species","66341","242","237","13754"
"18791","spm","","272322","0","26092","PVL 4619","","","","tibia","","1","table","","","Lagerpeton chanarensis","species","66341","","Lagerpeton chanarensis","species","66341","242","237","13754"
"19375","spm","","911642","0","122921","MSF D90929","","","","forewing","","1","text","","","Euarchistigma marialuiseae","species","175139","","Euarchistigma marialuiseae","species","175139","122.46","112.03","34848"
"19376","spm","","911642","0","122921","MSF D90929","","","","hindwing","","1","text","","","Euarchistigma marialuiseae","species","175139","","Euarchistigma marialuiseae","species","175139","122.46","112.03","34848"
"19377","spm","","911642","0","122921","MSF D90929","","","","body","","1","text","","","Euarchistigma marialuiseae","species","175139","","Euarchistigma marialuiseae","species","175139","122.46","112.03","34848"
"19378","spm","","911643","0","122557","SMNS 66823","holotype","","","forewing","","1","text","","","Euarchistigma peterknobli","species","175140","","Euarchistigma peterknobli","species","175140","122.46","112.03","34848"
"19379","spm","","911643","0","122557","WDC 132","paratype","","","forewing","","1","text","","","Euarchistigma peterknobli","species","175140","","Euarchistigma peterknobli","species","175140","122.46","112.03","34848"
"19380","spm","","911643","0","122557","WDC 132","paratype","","","hindwing","","1","text","","","Euarchistigma peterknobli","species","175140","","Euarchistigma peterknobli","species","175140","122.46","112.03","34848"
"19381","spm","","911643","0","122557","WDC 132","paratype","","","body","","1","text","","","Euarchistigma peterknobli","species","175140","","Euarchistigma peterknobli","species","175140","122.46","112.03","34848"
"19382","spm","","911644","0","122557","SMNS 66803b","holotype","","","wing","","1","text","","","Santanagrion longipes","species","175142","","Santanagrion longipes","species","175142","122.46","112.03","34848"
"19383","spm","","911644","0","122557","SMNS 66803b","holotype","","","body","","1","text","","","Santanagrion longipes","species","175142","","Santanagrion longipes","species","175142","122.46","112.03","34848"
"19384","spm","","911645","0","122918","WDC 136","holotype","","","forewing","male","1","text","","Male","Cratostenophlebia schwickerti","species","175146","","Cratostenophlebia schwickerti","species","175146","122.46","112.03","34848"
"19385","spm","","911645","0","122918","WDC 136","holotype","","","hindwing","male","1","text","","Male","Cratostenophlebia schwickerti","species","175146","","Cratostenophlebia schwickerti","species","175146","122.46","112.03","34848"
"19386","spm","","911645","0","122918","WDC 136","holotype","","","body","male","1","text","","Male","Cratostenophlebia schwickerti","species","175146","","Cratostenophlebia schwickerti","species","175146","122.46","112.03","34848"
"19387","spm","","911645","0","122918","WDC Z110","paratype","","","forewing","female","1","text","","Female allotype","Cratostenophlebia schwickerti","species","175146","","Cratostenophlebia schwickerti","species","175146","122.46","112.03","34848"
"19388","spm","","911645","0","122918","WDC Z110","paratype","","left","hindwing","female","1","text","","Female allotype","Cratostenophlebia schwickerti","species","175146","","Cratostenophlebia schwickerti","species","175146","122.46","112.03","34848"
"19389","spm","","911646","0","122921","SMF VI 853","holotype","","","forewing","","1","text","","Old number SMF Q90","Eotanypteryx paradoxa","species","175149","","Eotanypteryx paradoxa","species","175149","122.46","112.03","34848"
"19390","spm","","911646","0","122921","SMF VI 853","holotype","","","hindwing","","1","text","","Old number SMF Q90","Eotanypteryx paradoxa","species","175149","","Eotanypteryx paradoxa","species","175149","122.46","112.03","34848"
"19391","spm","","911648","0","122557","SMNS 63648","holotype","","right","forewing","","1","text","","","Paraeschnopsis brasiliensis","species","175154","","Paraeschnopsis brasiliensis","species","175154","122.46","112.03","34848"
"19392","spm","","911649","0","122553","SMNS 66613","","","","hindwing","female","1","text","","Basal fragment; female","Paramesuropetala gigantea","species","175157","","Paramesuropetala gigantea","species","175157","122.46","112.03","34848"
"19393","spm","","911650","0","122557","SMNS 66591","holotype","","","forewing","female","1","text","","Female","Cordulagomphus hanneloreae","species","175161","","Cordulagomphus hanneloreae","species","175161","122.46","112.03","34848"
"19394","spm","","911650","0","122557","SMNS 66591","holotype","","","hindwing","female","1","text","","Female","Cordulagomphus hanneloreae","species","175161","","Cordulagomphus hanneloreae","species","175161","122.46","112.03","34848"
"19395","spm","","911651","0","122557","SMNS 66607","holotype","","","forewing","male","1","text","1","Male","Cordulagomphus winkelhoferi","species","175162","","Cordulagomphus winkelhoferi","species","175162","122.46","112.03","40764"
"19396","spm","","911652","0","122921","SMF VI 1043","holotype","","","forewing","male","1","text","","Male","Paracordulagomphus aberrans","species","175164","","Paracordulagomphus aberrans","species","175164","122.46","112.03","34848"
"19397","spm","","911652","0","122921","SMF VI 1043","holotype","","","hindwing","male","1","text","","Male","Paracordulagomphus aberrans","species","175164","","Paracordulagomphus aberrans","species","175164","122.46","112.03","34848"
"19398","spm","","911652","0","122921","SMF VI 1043","holotype","","","body","male","1","text","","Male","Paracordulagomphus aberrans","species","175164","","Paracordulagomphus aberrans","species","175164","122.46","112.03","34848"
"19399","spm","","911652","0","122921","SMF VI 1044","paratype","","","forewing","female","1","text","","Female allotype","Paracordulagomphus aberrans","species","175164","","Paracordulagomphus aberrans","species","175164","122.46","112.03","34848"
"19400","spm","","911652","0","122921","SMF VI 1044","paratype","","","hindwing","female","1","text","","Female allotype","Paracordulagomphus aberrans","species","175164","","Paracordulagomphus aberrans","species","175164","122.46","112.03","34848"
"19401","spm","","911652","0","122921","SMF VI 1044","paratype","","","body","female","1","text","","Female allotype","Paracordulagomphus aberrans","species","175164","","Paracordulagomphus aberrans","species","175164","122.46","112.03","34848"
"19402","spm","","911652","0","122921","SMNS 66614","paratype","","","forewing","male","1","text","","Male","Paracordulagomphus aberrans","species","175164","","Paracordulagomphus aberrans","species","175164","122.46","112.03","34848"
"19403","spm","","911652","0","122921","SMNS 66614","paratype","","","hindwing","male","1","text","","Male","Paracordulagomphus aberrans","species","175164","","Paracordulagomphus aberrans","species","175164","122.46","112.03","34848"
"19404","spm","","911653","0","122921","SMF VI 876","holotype","","","forewing","","1","text","1","","Paracordulagomphus divergens","species","175165","","Paracordulagomphus divergens","species","175165","122.46","112.03","34848"
"19405","spm","","911654","0","122921","SMF VI 1045","holotype","","","forewing","female","1","text","","Female","Pauciphlebia novaolindense","species","175167","","Pauciphlebia novaolindense","species","175167","122.46","112.03","34848"
"19406","spm","","911654","0","122921","SMF VI 1045","holotype","","","hindwing","female","1","text","","Female","Pauciphlebia novaolindense","species","175167","","Pauciphlebia novaolindense","species","175167","122.46","112.03","34848"
"19407","spm","","911654","0","122921","SMF VI 1045","holotype","","","body","female","1","text","","Female","Pauciphlebia novaolindense","species","175167","","Pauciphlebia novaolindense","species","175167","122.46","112.03","34848"
"19408","spm","","911655","0","122557","SMNS 66606a","holotype","","","forewing","male","1","text","","Male","Cratogomphus erraticus","species","175169","","Cratogomphus erraticus","species","175169","122.46","112.03","34848"
"19409","spm","","911655","0","122557","SMNS 66606a","holotype","","","hindwing","male","1","text","","Male","Cratogomphus erraticus","species","175169","","Cratogomphus erraticus","species","175169","122.46","112.03","34848"
"19410","spm","","911655","0","122557","SMNS 66606a","holotype","","","body","male","1","text","","Male","Cratogomphus erraticus","species","175169","","Cratogomphus erraticus","species","175169","122.46","112.03","34848"
