collection_no,source_database,collection.authorizer,occurrence.genus_reso,occurrence.genus_name,occurrence.species_reso,occurrence.species_name,original.genus_reso,original.genus_name,original.species_reso,original.species_name,collection.reference_no,10_my_bin
13501,Fossilworks,"J. Alroy",cf.,Phareodus,,sp.,,,,,6116,"Cenozoic 1"
13501,Fossilworks,"J. Alroy",cf.,Eohiodon,,sp.,,,,,6116,"Cenozoic 1"
13501,Fossilworks,"J. Alroy",cf.,Rhineaster,,sp.,,,,,6116,"Cenozoic 1"
13501,Fossilworks,"J. Alroy",cf.,Rhodsia,,sp.,,,,,6116,"Cenozoic 1"
13501,Fossilworks,"J. Alroy",cf.,Miletes,,sp.,,,,,6116,"Cenozoic 1"
13501,Fossilworks,"J. Alroy",cf.,Hoplias,,sp.,,,,,6116,"Cenozoic 1"
13501,Fossilworks,"J. Alroy",cf.,Percichthys,,sp.,,,,,6116,"Cenozoic 1"
13501,Fossilworks,"J. Alroy",?,Roxochelys,cf.,vilavilensis,,,,,6116,"Cenozoic 1"
13501,Fossilworks,"J. Alroy",,Podocnemis,?,brasiliensis,,,,,6116,"Cenozoic 1"
13501,Fossilworks,"J. Alroy",,Lepidosiren,cf.,paradoxa,,,,,6116,"Cenozoic 1"
13501,Fossilworks,"J. Alroy",,Coniophis,,sp.,,,,,6116,"Cenozoic 1"
13501,Fossilworks,"J. Alroy","n. gen.",Kataria,"n. sp.",anisodonta,,,,,6116,"Cenozoic 1"
13501,Fossilworks,"J. Alroy","n. gen.",Incadelphys,"n. sp.",antiquus,,,,,6116,"Cenozoic 1"
13501,Fossilworks,"J. Alroy","n. gen.",Tiulordia,"n. sp.",floresi,,,,,6116,"Cenozoic 1"
13501,Fossilworks,"J. Alroy","n. gen.",Jaskhadelphys,"n. sp.",minutus,,,,,6116,"Cenozoic 1"
13501,Fossilworks,"J. Alroy","n. gen.",Khasia,"n. sp.",cordillerensis,,,,,6116,"Cenozoic 1"
13501,Fossilworks,"J. Alroy",,Peradectes,,austrinum,,,,,6116,"Cenozoic 1"
13501,Fossilworks,"J. Alroy",cf.,Cimolestes,,sp.,,,,,6116,"Cenozoic 1"
13501,Fossilworks,"J. Alroy","n. gen.",Mizquedelphys,"n. sp.",pilpinensis,,,,,6116,"Cenozoic 1"
13501,Fossilworks,"J. Alroy",,Lepisosteus,,sp.,,Lepisosteidae,,indet.,6116,"Cenozoic 1"
13501,Fossilworks,"J. Alroy",,Estesiella,,boliviensis,"n. gen.",Leptodactylidae,"n. sp.",indet.,6116,"Cenozoic 1"
13522,Fossilworks,"J. Alroy","n. gen.",Ischyrorhynchus,"n. sp.",vanbenedeni,,,,,6124,"Cenozoic 6"
13522,Fossilworks,"J. Alroy",,Saurocetes,"n. sp.",argentinus,,Saurocetes,"n. sp.",obliquus,6124,"Cenozoic 6"
13522,Fossilworks,"J. Alroy","n. gen.",Pontivaga,"n. sp.",fischeri,,,,,6124,"Cenozoic 6"
13522,Fossilworks,"J. Alroy","n. gen.",Saurocetes,"n. sp.",argentinus,,,,,6124,"Cenozoic 6"
13522,Fossilworks,"J. Alroy",,Palaeobalaena,,bergi,,Palaeobalaena,,bergii,6124,"Cenozoic 6"
13522,Fossilworks,"J. Alroy",,Palaeobalaena,,dubia,,,,,6124,"Cenozoic 6"
13522,Fossilworks,"J. Alroy","n. gen.",Ischyrorhynchus,"n. sp.",vanbenedeni,"n. gen.",Anisodelphis,"n. sp.",brevirostratus,6124,"Cenozoic 6"
13522,Fossilworks,"J. Alroy",,Saurocetes,"n. sp.",argentinus,,Saurodelphis,"n. sp.",acutirostratus,6124,"Cenozoic 6"
13522,Fossilworks,"J. Alroy",,Phugatherium,,cataclisticum,,Protohydrochoerus,,sp.,6124,"Cenozoic 6"
13626,Fossilworks,"J. Alroy",,Pontistes,"n. sp.",rectifrons,,Delphinus,"n. sp.",rectifrons,6134,"Cenozoic 6"
13626,Fossilworks,"J. Alroy",,Balaena,,dubia,,,,,6134,"Cenozoic 6"
13626,Fossilworks,"J. Alroy",,Squalus,,eocenus,,,,,6134,"Cenozoic 6"
13626,Fossilworks,"J. Alroy",,Squalus,,obliquidens,,,,,6134,"Cenozoic 6"
13626,Fossilworks,"J. Alroy",,Lamna,,unicuspidens,,,,,6134,"Cenozoic 6"
13626,Fossilworks,"J. Alroy",,Striatolamia,,macrota,,Lamna,,elegans,6134,"Cenozoic 6"
13626,Fossilworks,"J. Alroy",,Lamna,,amplibasidens,,,,,6134,"Cenozoic 6"
13626,Fossilworks,"J. Alroy",,Lamna,,serridens,,,,,6134,"Cenozoic 6"
13626,Fossilworks,"J. Alroy",,Myliobatis,,americanus,,,,,6134,"Cenozoic 6"
